id,num_drivers,created_at,updated_at,driver_eta
10278,1,2017-11-01 03:00:16.404771,2017-11-01 03:00:16.404771,10
10279,1,2017-11-01 03:00:36.229424,2017-11-01 03:00:36.229424,2
10280,1,2017-11-01 03:01:36.335923,2017-11-01 03:01:36.335923,1
10281,1,2017-11-01 03:01:56.405312,2017-11-01 03:01:56.405312,2
10282,1,2017-11-01 03:02:16.214262,2017-11-01 03:02:16.214262,1
10283,0,2017-11-01 03:03:16.248223,2017-11-01 03:03:16.248223,1000
10284,1,2017-11-01 03:04:36.46341,2017-11-01 03:04:36.46341,4
10285,0,2017-11-01 03:07:36.334939,2017-11-01 03:07:36.334939,1000
10286,1,2017-11-01 03:07:56.436739,2017-11-01 03:07:56.436739,2
10287,1,2017-11-01 03:09:56.297089,2017-11-01 03:09:56.297089,3
10288,0,2017-11-01 03:10:16.344954,2017-11-01 03:10:16.344954,1000
10289,1,2017-11-01 03:12:36.33603,2017-11-01 03:12:36.33603,3
10290,0,2017-11-01 03:13:36.359379,2017-11-01 03:13:36.359379,1000
10291,1,2017-11-01 03:14:36.285818,2017-11-01 03:14:36.285818,3
10292,2,2017-11-01 03:14:56.359158,2017-11-01 03:14:56.359158,3
10293,1,2017-11-01 03:15:16.477978,2017-11-01 03:15:16.477978,3
10294,1,2017-11-01 03:19:16.486376,2017-11-01 03:19:16.486376,2
10295,0,2017-11-01 03:19:36.285417,2017-11-01 03:19:36.285417,1000
10296,1,2017-11-01 03:23:36.62734,2017-11-01 03:23:36.62734,3
10297,0,2017-11-01 03:25:56.405886,2017-11-01 03:25:56.405886,1000
10298,1,2017-11-01 03:26:16.255593,2017-11-01 03:26:16.255593,5
10299,0,2017-11-01 03:29:16.356953,2017-11-01 03:29:16.356953,1000
10300,1,2017-11-01 03:29:36.499644,2017-11-01 03:29:36.499644,3
10301,1,2017-11-01 03:29:59.235949,2017-11-01 03:29:59.235949,16
10302,1,2017-11-01 03:30:16.410778,2017-11-01 03:30:16.410778,15
10303,0,2017-11-01 03:30:36.256373,2017-11-01 03:30:36.256373,1000
10304,1,2017-11-01 03:32:36.406727,2017-11-01 03:32:36.406727,4
10305,0,2017-11-01 03:33:36.438347,2017-11-01 03:33:36.438347,1000
10306,1,2017-11-01 03:33:56.329456,2017-11-01 03:33:56.329456,4
10307,2,2017-11-01 03:35:16.474047,2017-11-01 03:35:16.474047,4
10308,3,2017-11-01 03:36:36.311729,2017-11-01 03:36:36.311729,4
10309,2,2017-11-01 03:39:36.524173,2017-11-01 03:39:36.524173,4
10310,3,2017-11-01 03:39:56.363542,2017-11-01 03:39:56.363542,5
10311,3,2017-11-01 03:40:56.396844,2017-11-01 03:40:56.396844,4
10312,3,2017-11-01 03:42:16.300616,2017-11-01 03:42:16.300616,3
10313,3,2017-11-01 03:43:56.320874,2017-11-01 03:43:56.320874,2
10314,3,2017-11-01 03:44:56.28043,2017-11-01 03:44:56.28043,1
10315,2,2017-11-01 03:45:56.46074,2017-11-01 03:45:56.46074,1
10316,2,2017-11-01 03:49:36.454,2017-11-01 03:49:36.454,0
10317,1,2017-11-01 03:50:16.44344,2017-11-01 03:50:16.44344,1
10318,2,2017-11-01 03:52:36.430799,2017-11-01 03:52:36.430799,1
10319,3,2017-11-01 03:55:56.392453,2017-11-01 03:55:56.392453,1
10320,3,2017-11-01 03:56:56.43814,2017-11-01 03:56:56.43814,2
10321,4,2017-11-01 03:57:16.260964,2017-11-01 03:57:16.260964,1
10322,5,2017-11-01 03:58:36.474268,2017-11-01 03:58:36.474268,1
10323,6,2017-11-01 03:59:36.489666,2017-11-01 03:59:36.489666,1
10324,6,2017-11-01 04:07:16.57029,2017-11-01 04:07:16.57029,0
10325,5,2017-11-01 04:08:36.429374,2017-11-01 04:08:36.429374,1
10326,4,2017-11-01 04:09:56.260339,2017-11-01 04:09:56.260339,1
10327,3,2017-11-01 04:11:16.456563,2017-11-01 04:11:16.456563,1
10328,2,2017-11-01 04:12:16.482989,2017-11-01 04:12:16.482989,1
10329,1,2017-11-01 04:17:36.309921,2017-11-01 04:17:36.309921,1
10330,1,2017-11-01 04:18:16.515516,2017-11-01 04:18:16.515516,3
10331,0,2017-11-01 04:20:16.326709,2017-11-01 04:20:16.326709,1000
10332,1,2017-11-01 04:21:56.399566,2017-11-01 04:21:56.399566,5
10333,0,2017-11-01 04:22:56.394053,2017-11-01 04:22:56.394053,1000
10334,1,2017-11-01 04:26:56.750885,2017-11-01 04:26:56.750885,5
10335,2,2017-11-01 04:27:56.345416,2017-11-01 04:27:56.345416,3
10336,1,2017-11-01 04:28:36.323853,2017-11-01 04:28:36.323853,5
10337,1,2017-11-01 04:29:16.459583,2017-11-01 04:29:16.459583,4
10338,1,2017-11-01 04:29:56.414956,2017-11-01 04:29:56.414956,2
10339,1,2017-11-01 04:30:56.506453,2017-11-01 04:30:56.506453,3
10340,1,2017-11-01 04:31:16.383246,2017-11-01 04:31:16.383246,2
10341,0,2017-11-01 04:32:56.490937,2017-11-01 04:32:56.490937,1000
10342,1,2017-11-01 04:33:56.521404,2017-11-01 04:33:56.521404,5
10343,2,2017-11-01 04:34:16.952541,2017-11-01 04:34:16.952541,4
10344,2,2017-11-01 04:35:36.4889,2017-11-01 04:35:36.4889,3
10345,2,2017-11-01 04:36:56.493378,2017-11-01 04:36:56.493378,2
10346,1,2017-11-01 04:37:36.505702,2017-11-01 04:37:36.505702,2
10347,1,2017-11-01 04:37:56.427082,2017-11-01 04:37:56.427082,1
10348,2,2017-11-01 04:38:56.533905,2017-11-01 04:38:56.533905,1
10349,3,2017-11-01 04:40:36.406865,2017-11-01 04:40:36.406865,1
10350,2,2017-11-01 04:40:56.602037,2017-11-01 04:40:56.602037,3
10351,2,2017-11-01 04:41:56.250016,2017-11-01 04:41:56.250016,2
10352,1,2017-11-01 04:42:36.565784,2017-11-01 04:42:36.565784,4
10353,0,2017-11-01 04:43:16.562235,2017-11-01 04:43:16.562235,1000
10354,1,2017-11-01 04:46:36.441993,2017-11-01 04:46:36.441993,3
10355,2,2017-11-01 04:49:36.279587,2017-11-01 04:49:36.279587,2
10356,2,2017-11-01 04:50:36.547443,2017-11-01 04:50:36.547443,1
10357,1,2017-11-01 04:51:16.519507,2017-11-01 04:51:16.519507,4
10358,0,2017-11-01 04:52:36.540188,2017-11-01 04:52:36.540188,1000
10359,1,2017-11-01 04:56:36.456167,2017-11-01 04:56:36.456167,3
10360,0,2017-11-01 05:00:36.405797,2017-11-01 05:00:36.405797,1000
10361,1,2017-11-01 05:00:56.285901,2017-11-01 05:00:56.285901,22
10362,0,2017-11-01 05:01:16.400336,2017-11-01 05:01:16.400336,1000
10363,1,2017-11-01 05:01:56.320904,2017-11-01 05:01:56.320904,1
10364,1,2017-11-01 05:03:16.53136,2017-11-01 05:03:16.53136,2
10365,1,2017-11-01 05:03:36.308725,2017-11-01 05:03:36.308725,1
10366,2,2017-11-01 05:03:56.405715,2017-11-01 05:03:56.405715,1
10367,2,2017-11-01 05:05:36.451303,2017-11-01 05:05:36.451303,2
10368,1,2017-11-01 05:05:56.223713,2017-11-01 05:05:56.223713,4
10369,1,2017-11-01 05:08:16.487222,2017-11-01 05:08:16.487222,5
10370,2,2017-11-01 05:11:36.439708,2017-11-01 05:11:36.439708,3
10371,0,2017-11-01 05:11:56.327826,2017-11-01 05:11:56.327826,1000
10372,2,2017-11-01 05:16:36.587952,2017-11-01 05:16:36.587952,3
10373,2,2017-11-01 05:17:56.430739,2017-11-01 05:17:56.430739,4
10374,2,2017-11-01 05:20:56.299725,2017-11-01 05:20:56.299725,5
10375,2,2017-11-01 05:22:56.384175,2017-11-01 05:22:56.384175,4
10376,3,2017-11-01 05:25:16.312364,2017-11-01 05:25:16.312364,3
10377,3,2017-11-01 05:26:56.309882,2017-11-01 05:26:56.309882,2
10378,3,2017-11-01 05:28:16.604944,2017-11-01 05:28:16.604944,1
10379,2,2017-11-01 05:39:16.525112,2017-11-01 05:39:16.525112,1
10380,3,2017-11-01 05:43:56.43666,2017-11-01 05:43:56.43666,1
10381,2,2017-11-01 05:55:36.332184,2017-11-01 05:55:36.332184,1
10382,1,2017-11-01 05:58:16.466736,2017-11-01 05:58:16.466736,1
10383,1,2017-11-01 05:58:56.351823,2017-11-01 05:58:56.351823,2
10384,1,2017-11-01 06:00:16.253789,2017-11-01 06:00:16.253789,3
10385,0,2017-11-01 06:01:16.365953,2017-11-01 06:01:16.365953,1000
10386,1,2017-11-01 06:05:36.396936,2017-11-01 06:05:36.396936,3
10387,2,2017-11-01 06:05:56.542307,2017-11-01 06:05:56.542307,3
10388,2,2017-11-01 06:07:56.27037,2017-11-01 06:07:56.27037,4
10389,1,2017-11-01 06:08:56.321413,2017-11-01 06:08:56.321413,4
