id,created_at,updated_at,status,order_id
55286,2017-11-04 23:51:40.350273,2017-11-04 23:51:40.350273,submitted,5740
55287,2017-11-04 23:52:04.060117,2017-11-04 23:52:04.060117,processing,5740
55308,2017-11-05 00:07:31.659173,2017-11-05 00:07:31.659173,requesting,5740
55309,2017-11-05 00:07:43.227239,2017-11-05 00:07:43.227239,accepted,5740
55316,2017-11-05 00:13:07.558087,2017-11-05 00:13:07.558087,arrived,5740
61602,2017-11-12 05:42:11.426271,2017-11-12 05:42:11.426271,submitted,6977
61603,2017-11-12 05:43:40.048206,2017-11-12 05:43:40.048206,processing,6977
61608,2017-11-12 05:47:30.153543,2017-11-12 05:47:30.153543,requesting,6977
61609,2017-11-12 05:47:59.501023,2017-11-12 05:47:59.501023,accepted,6977
61612,2017-11-12 05:54:17.317222,2017-11-12 05:54:17.317222,arrived,6977
55176,2017-11-04 22:51:58.572793,2017-11-04 22:51:58.572793,submitted,7424
55177,2017-11-04 22:52:06.57851,2017-11-04 22:52:06.57851,processing,7424
55182,2017-11-04 22:54:02.159673,2017-11-04 22:54:02.159673,requesting,7424
55184,2017-11-04 22:54:29.8721,2017-11-04 22:54:29.8721,accepted,7424
55195,2017-11-04 23:01:34.49159,2017-11-04 23:01:34.49159,arrived,7424
55104,2017-11-04 22:05:06.778721,2017-11-04 22:05:06.778721,submitted,8496
55107,2017-11-04 22:10:54.409656,2017-11-04 22:10:54.409656,processing,8496
55137,2017-11-04 22:29:14.038075,2017-11-04 22:29:14.038075,requesting,8496
55139,2017-11-04 22:29:24.401685,2017-11-04 22:29:24.401685,accepted,8496
55149,2017-11-04 22:34:26.249867,2017-11-04 22:34:26.249867,arrived,8496
60479,2017-11-11 05:33:01.498613,2017-11-11 05:33:01.498613,submitted,8960
60480,2017-11-11 05:33:12.611834,2017-11-11 05:33:12.611834,processing,8960
60484,2017-11-11 05:44:29.694555,2017-11-11 05:44:29.694555,requesting,8960
60485,2017-11-11 05:44:37.154259,2017-11-11 05:44:37.154259,accepted,8960
60486,2017-11-11 05:46:37.235843,2017-11-11 05:46:37.235843,arrived,8960
60491,2017-11-11 05:49:58.749746,2017-11-11 05:49:58.749746,delivering,8960
55609,2017-11-05 06:59:10.295282,2017-11-05 06:59:10.295282,submitted,10275
55613,2017-11-05 07:00:19.630237,2017-11-05 07:00:19.630237,processing,10275
55626,2017-11-05 07:20:06.563224,2017-11-05 07:20:06.563224,requesting,10275
55628,2017-11-05 07:22:11.294285,2017-11-05 07:22:11.294285,failed,10275
55629,2017-11-05 07:23:20.968154,2017-11-05 07:23:20.968154,accepted,10275
55632,2017-11-05 07:27:07.627816,2017-11-05 07:27:07.627816,arrived,10275
62711,2017-11-13 04:42:15.548463,2017-11-13 04:42:15.548463,submitted,10461
62713,2017-11-13 04:43:26.634739,2017-11-13 04:43:26.634739,processing,10461
62734,2017-11-13 05:06:59.383473,2017-11-13 05:06:59.383473,requesting,10461
62735,2017-11-13 05:07:06.140459,2017-11-13 05:07:06.140459,accepted,10461
62736,2017-11-13 05:09:26.094589,2017-11-13 05:09:26.094589,arrived,10461
59385,2017-11-10 03:39:13.546429,2017-11-10 03:39:13.546429,submitted,10854
59386,2017-11-10 03:39:22.835429,2017-11-10 03:39:22.835429,processing,10854
59389,2017-11-10 03:43:02.16625,2017-11-10 03:43:02.16625,requesting,10854
59390,2017-11-10 03:43:12.667631,2017-11-10 03:43:12.667631,accepted,10854
59391,2017-11-10 03:43:19.046344,2017-11-10 03:43:19.046344,arrived,10854
59395,2017-11-10 03:47:18.208584,2017-11-10 03:47:18.208584,delivering,10854
55672,2017-11-05 15:44:37.227339,2017-11-05 15:44:37.227339,submitted,12293
55673,2017-11-05 15:44:53.094346,2017-11-05 15:44:53.094346,processing,12293
55674,2017-11-05 15:56:05.303339,2017-11-05 15:56:05.303339,requesting,12293
55675,2017-11-05 15:56:12.771818,2017-11-05 15:56:12.771818,accepted,12293
55676,2017-11-05 15:59:53.04551,2017-11-05 15:59:53.04551,arrived,12293
55677,2017-11-05 16:00:49.62298,2017-11-05 16:00:49.62298,delivering,12293
52912,2017-11-02 04:11:06.847784,2017-11-02 04:11:06.847784,submitted,12353
